radius_nm,amplitude,phase_rad
95.4755,0.887622,-0.920656
95.5455,0.88757,-0.91352
95.6156,0.887518,-0.906398
95.6857,0.887466,-0.899205
95.7558,0.887414,-0.89202
95.8258,0.887363,-0.884847
95.8959,0.887312,-0.877662
95.966,0.887261,-0.870494
96.036,0.88721,-0.863326
96.1061,0.88716,-0.856152
96.1762,0.887109,-0.848966
96.2462,0.887059,-0.841793
96.3163,0.887008,-0.834615
96.3864,0.886958,-0.827454
96.4565,0.886908,-0.820277
96.5265,0.886857,-0.813104
96.5966,0.886807,-0.805942
96.6667,0.886757,-0.798791
96.7367,0.886706,-0.791645
96.8068,0.886656,-0.784493
96.8769,0.886605,-0.777355
96.9469,0.886555,-0.770216
97.017,0.886504,-0.763094
97.0871,0.886453,-0.755979
97.1572,0.886401,-0.748881
97.2272,0.88635,-0.741778
97.2973,0.886298,-0.734698
97.3674,0.886246,-0.727593
97.4374,0.886193,-0.720488
97.5075,0.88614,-0.713369
97.5776,0.886085,-0.706143
97.6476,0.886027,-0.698818
97.7177,0.88597,-0.691518
97.7878,0.885911,-0.684187
97.8579,0.88585,-0.676745
97.9279,0.885789,-0.669301
97.998,0.885727,-0.661856
98.0681,0.885664,-0.654405
98.1381,0.8856,-0.646967
98.2082,0.885534,-0.639427
98.2783,0.885468,-0.63189
98.3483,0.8854,-0.624346
98.4184,0.885331,-0.616794
98.4885,0.885262,-0.609226
98.5586,0.88519,-0.601626
98.6286,0.885118,-0.594032
98.6987,0.885045,-0.586411
98.7688,0.88497,-0.57876
98.8388,0.884894,-0.571124
98.9089,0.884817,-0.563489
98.979,0.884738,-0.555844
99.049,0.884658,-0.548192
99.1191,0.884577,-0.540504
99.1892,0.884494,-0.532812
99.2593,0.884409,-0.52511
99.3293,0.884323,-0.517403
99.3994,0.884236,-0.509666
99.4695,0.884146,-0.501945
99.5395,0.884056,-0.494222
99.6096,0.883963,-0.4865
99.6797,0.883869,-0.478784
99.7497,0.883774,-0.471035
99.8198,0.883676,-0.463311
99.8899,0.883577,-0.455573
99.96,0.883476,-0.447835
100.03,0.883373,-0.440098
100.1,0.883268,-0.432353
100.17,0.883161,-0.424585
100.24,0.883052,-0.416818
100.31,0.882942,-0.409071
100.38,0.882829,-0.401314
100.45,0.882714,-0.393573
100.521,0.882597,-0.385837
100.591,0.882479,-0.378107
100.661,0.882358,-0.370379
100.731,0.882234,-0.362632
100.801,0.882109,-0.354887
100.871,0.881982,-0.347164
100.941,0.881851,-0.339397
101.011,0.881718,-0.331629
101.081,0.881582,-0.323804
101.151,0.881443,-0.315995
101.221,0.881303,-0.308192
101.291,0.881158,-0.30032
101.361,0.881004,-0.292174
101.431,0.880852,-0.284187
101.502,0.880693,-0.276074
101.572,0.88053,-0.267863
101.642,0.880362,-0.259583
101.712,0.880191,-0.251306
101.782,0.880017,-0.24299
101.852,0.879839,-0.234673
101.922,0.879657,-0.226295
101.992,0.879471,-0.21787
102.062,0.879281,-0.209414
102.132,0.879086,-0.200924
102.202,0.878888,-0.192413
102.272,0.878687,-0.183932
102.342,0.878482,-0.175405
102.412,0.878272,-0.166834
102.482,0.878057,-0.158206
102.553,0.877839,-0.14958
102.623,0.877617,-0.140948
102.693,0.877391,-0.132311
102.763,0.877161,-0.123664
102.833,0.876927,-0.115026
102.903,0.87669,-0.10639
102.973,0.876449,-0.0977307
103.043,0.876202,-0.0890239
103.113,0.875951,-0.0802999
103.183,0.875696,-0.0715728
103.253,0.875436,-0.0628292
103.323,0.875173,-0.0540845
103.393,0.874905,-0.0453467
103.463,0.874634,-0.0366052
103.534,0.874356,-0.027822
103.604,0.874077,-0.0190811
103.674,0.873792,-0.0103214
103.744,0.873503,-0.00155119
103.814,0.873207,0.00727629
103.884,0.872909,0.0160778
103.954,0.872605,0.0249009
104.024,0.872297,0.0337132
104.094,0.871985,0.0425235
104.164,0.871668,0.0513576
104.234,0.871347,0.0601636
104.304,0.871021,0.0690063
104.374,0.87069,0.0778431
104.444,0.870356,0.0866556
104.515,0.870016,0.0954973
104.585,0.869671,0.104352
104.655,0.869322,0.113209
104.725,0.868968,0.122078
104.795,0.868609,0.13094
104.865,0.868246,0.139795
104.935,0.86788,0.148627
105.005,0.867508,0.157477
105.075,0.867125,0.166502
105.145,0.866722,0.175893
105.215,0.866331,0.184876
105.285,0.865925,0.194113
105.355,0.865507,0.20352
105.425,0.865085,0.21291
105.495,0.864656,0.222328
105.566,0.864223,0.23175
105.636,0.863781,0.241251
105.706,0.863331,0.250834
105.776,0.862874,0.260435
105.846,0.862412,0.270051
105.916,0.861945,0.279661
105.986,0.861472,0.289294
106.056,0.860993,0.298948
106.126,0.860505,0.308668
106.196,0.860012,0.318398
106.266,0.859512,0.328162
106.336,0.859007,0.33793
106.406,0.858497,0.347695
106.476,0.857982,0.357446
106.547,0.857462,0.367206
106.617,0.856938,0.376956
106.687,0.856406,0.386744
106.757,0.855868,0.396571
106.827,0.855323,0.406417
106.897,0.854774,0.416252
106.967,0.854222,0.426067
107.037,0.853663,0.435902
107.107,0.853102,0.445698
107.177,0.852536,0.455509
107.247,0.851967,0.465281
107.317,0.851392,0.475074
107.387,0.850813,0.484856
107.457,0.850227,0.494696
107.528,0.849635,0.50455
107.598,0.84904,0.514375
107.668,0.848442,0.52419
107.738,0.84784,0.533993
107.808,0.847236,0.543759
107.878,0.846627,0.553536
107.948,0.846015,0.563304
108.018,0.845401,0.573039
108.088,0.844782,0.582799
108.158,0.844161,0.59253
108.228,0.843535,0.60227
108.298,0.842906,0.612009
108.368,0.842273,0.621751
108.438,0.841639,0.631455
108.509,0.841001,0.641173
108.579,0.840363,0.650852
108.649,0.839723,0.660506
108.719,0.83908,0.670155
108.789,0.838431,0.679848
108.859,0.837757,0.689903
108.929,0.837101,0.699634
108.999,0.836433,0.709511
109.069,0.835751,0.719579
109.139,0.835066,0.72964
109.209,0.834379,0.739692
109.279,0.833688,0.749769
109.349,0.832995,0.759857
109.419,0.832291,0.770063
109.489,0.831588,0.780242
109.56,0.830882,0.790416
109.63,0.830177,0.800571
109.7,0.829471,0.8107
109.77,0.828765,0.820831
109.84,0.828054,0.830996
109.91,0.827342,0.841169
109.98,0.826632,0.851287
110.05,0.82592,0.861434
